title,release,role,names
The Legend of Zelda: Ocarina of Time,2021 - Switch Online N64 Library,Writers,"Toru Osawa, Kensuke Tanabe"
The Legend of Zelda: Ocarina of Time,2021 - Switch Online N64 Library,Composers,Koji Kondo
The Legend of Zelda: Majora's Mask,2000 - Nintendo 64,Directors,"Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2000 - Nintendo 64,Producers,Shigeru Miyamoto
The Legend of Zelda: Majora's Mask,2000 - Nintendo 64,Programmers,"Toshio Iwawaki, Toshihiko Nakago"
The Legend of Zelda: Majora's Mask,2000 - Nintendo 64,Artists,"Yusuke Nakano, Takaya Imamura"
The Legend of Zelda: Majora's Mask,2000 - Nintendo 64,Writers,"Mitsuhiro Takano, Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2000 - Nintendo 64,Composers,Koji Kondo
The Legend of Zelda: Majora's Mask,2003 - GameCube,Directors,"Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2003 - GameCube,Producers,Shigeru Miyamoto
The Legend of Zelda: Majora's Mask,2003 - GameCube,Programmers,"Toshio Iwawaki, Toshihiko Nakago"
The Legend of Zelda: Majora's Mask,2003 - GameCube,Artists,"Yusuke Nakano, Takaya Imamura"
The Legend of Zelda: Majora's Mask,2003 - GameCube,Writers,"Mitsuhiro Takano, Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2003 - GameCube,Composers,Koji Kondo
The Legend of Zelda: Majora's Mask,2009 - Wii Virtual Console,Directors,"Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2009 - Wii Virtual Console,Producers,Shigeru Miyamoto
The Legend of Zelda: Majora's Mask,2009 - Wii Virtual Console,Programmers,"Toshio Iwawaki, Toshihiko Nakago"
The Legend of Zelda: Majora's Mask,2009 - Wii Virtual Console,Artists,"Yusuke Nakano, Takaya Imamura"
The Legend of Zelda: Majora's Mask,2009 - Wii Virtual Console,Writers,"Mitsuhiro Takano, Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2009 - Wii Virtual Console,Composers,Koji Kondo
The Legend of Zelda: Majora's Mask,2015 - 3DS,Directors,"Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2015 - 3DS,Producers,Shigeru Miyamoto
The Legend of Zelda: Majora's Mask,2015 - 3DS,Programmers,"Toshio Iwawaki, Toshihiko Nakago"
The Legend of Zelda: Majora's Mask,2015 - 3DS,Artists,"Yusuke Nakano, Takaya Imamura"
The Legend of Zelda: Majora's Mask,2015 - 3DS,Writers,"Mitsuhiro Takano, Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2015 - 3DS,Composers,Koji Kondo
The Legend of Zelda: Majora's Mask,2016 - Wii U Virtual Console,Directors,"Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2016 - Wii U Virtual Console,Producers,Shigeru Miyamoto
The Legend of Zelda: Majora's Mask,2016 - Wii U Virtual Console,Programmers,"Toshio Iwawaki, Toshihiko Nakago"
The Legend of Zelda: Majora's Mask,2016 - Wii U Virtual Console,Artists,"Yusuke Nakano, Takaya Imamura"
The Legend of Zelda: Majora's Mask,2016 - Wii U Virtual Console,Writers,"Mitsuhiro Takano, Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2016 - Wii U Virtual Console,Composers,Koji Kondo
The Legend of Zelda: Majora's Mask,2022 - Switch Online N64 Library,Directors,"Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2022 - Switch Online N64 Library,Producers,Shigeru Miyamoto
The Legend of Zelda: Majora's Mask,2022 - Switch Online N64 Library,Programmers,"Toshio Iwawaki, Toshihiko Nakago"
The Legend of Zelda: Majora's Mask,2022 - Switch Online N64 Library,Artists,"Yusuke Nakano, Takaya Imamura"
The Legend of Zelda: Majora's Mask,2022 - Switch Online N64 Library,Writers,"Mitsuhiro Takano, Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2022 - Switch Online N64 Library,Composers,Koji Kondo
The Legend of Zelda: Oracle of Seasons,2001 - Game Boy Color,Directors,Hidemaro Fujibayashi
The Legend of Zelda: Oracle of Seasons,2001 - Game Boy Color,Producers,Noritaka Funamizu
The Legend of Zelda: Oracle of Seasons,2001 - Game Boy Color,Designers,"Hidemaro Fujibayashi, Yoichiro Ikeda, Su Chol Lee"
The Legend of Zelda: Oracle of Seasons,2001 - Game Boy Color,Artists,Yusuke Nakano
The Legend of Zelda: Oracle of Seasons,2001 - Game Boy Color,Writers,Hidemaro Fujibayashi
The Legend of Zelda: Oracle of Seasons,2001 - Game Boy Color,Composers,"Minako Adachi, Kiyohiro Sada"
The Legend of Zelda: Oracle of Seasons,2013 - 3DS Virtual Console,Directors,Hidemaro Fujibayashi
The Legend of Zelda: Oracle of Seasons,2013 - 3DS Virtual Console,Producers,Noritaka Funamizu
The Legend of Zelda: Oracle of Seasons,2013 - 3DS Virtual Console,Designers,"Hidemaro Fujibayashi, Yoichiro Ikeda, Su Chol Lee"
The Legend of Zelda: Oracle of Seasons,2013 - 3DS Virtual Console,Artists,Yusuke Nakano
The Legend of Zelda: Oracle of Seasons,2013 - 3DS Virtual Console,Writers,Hidemaro Fujibayashi
The Legend of Zelda: Oracle of Seasons,2013 - 3DS Virtual Console,Composers,"Minako Adachi, Kiyohiro Sada"
The Legend of Zelda: Oracle of Seasons,2023 - Switch Online GameBoy Library,Directors,Hidemaro Fujibayashi
The Legend of Zelda: Oracle of Seasons,2023 - Switch Online GameBoy Library,Producers,Noritaka Funamizu
The Legend of Zelda: Oracle of Seasons,2023 - Switch Online GameBoy Library,Designers,"Hidemaro Fujibayashi, Yoichiro Ikeda, Su Chol Lee"
The Legend of Zelda: Oracle of Seasons,2023 - Switch Online GameBoy Library,Artists,Yusuke Nakano
The Legend of Zelda: Oracle of Seasons,2023 - Switch Online GameBoy Library,Writers,Hidemaro Fujibayashi
The Legend of Zelda: Oracle of Seasons,2023 - Switch Online GameBoy Library,Composers,"Minako Adachi, Kiyohiro Sada"
The Legend of Zelda: Oracle of Ages,2001 - Game Boy Color,Directors,Hidemaro Fujibayashi
The Legend of Zelda: Oracle of Ages,2001 - Game Boy Color,Producers,Noritaka Funamizu
The Legend of Zelda: Oracle of Ages,2001 - Game Boy Color,Designers,"Hidemaro Fujibayashi, Yoichiro Ikeda, Su Chol Lee"
The Legend of Zelda: Oracle of Ages,2001 - Game Boy Color,Artists,Yusuke Nakano
The Legend of Zelda: Oracle of Ages,2001 - Game Boy Color,Writers,Hidemaro Fujibayashi
The Legend of Zelda: Oracle of Ages,2001 - Game Boy Color,Composers,"Minako Adachi, Kiyohiro Sada"
The Legend of Zelda: Oracle of Ages,2013 - 3DS Virtual Console,Directors,Hidemaro Fujibayashi
The Legend of Zelda: Oracle of Ages,2013 - 3DS Virtual Console,Producers,Noritaka Funamizu
The Legend of Zelda: Oracle of Ages,2013 - 3DS Virtual Console,Designers,"Hidemaro Fujibayashi, Yoichiro Ikeda, Su Chol Lee"
The Legend of Zelda: Oracle of Ages,2013 - 3DS Virtual Console,Artists,Yusuke Nakano
The Legend of Zelda: Oracle of Ages,2013 - 3DS Virtual Console,Writers,Hidemaro Fujibayashi
The Legend of Zelda: Oracle of Ages,2013 - 3DS Virtual Console,Composers,"Minako Adachi, Kiyohiro Sada"
The Legend of Zelda: Oracle of Ages,2023 - Switch Online GameBoy Library,Directors,Hidemaro Fujibayashi
The Legend of Zelda: Oracle of Ages,2023 - Switch Online GameBoy Library,Producers,Noritaka Funamizu
The Legend of Zelda: Oracle of Ages,2023 - Switch Online GameBoy Library,Designers,"Hidemaro Fujibayashi, Yoichiro Ikeda, Su Chol Lee"
The Legend of Zelda: Oracle of Ages,2023 - Switch Online GameBoy Library,Artists,Yusuke Nakano
The Legend of Zelda: Oracle of Ages,2023 - Switch Online GameBoy Library,Writers,Hidemaro Fujibayashi
The Legend of Zelda: Oracle of Ages,2023 - Switch Online GameBoy Library,Composers,"Minako Adachi, Kiyohiro Sada"
The Legend of Zelda: A Link to the Past and Four Swords,2002 - Game Boy Advance,Directors,"Yoichi Yamada, Hidemaro Fujibayashi"
The Legend of Zelda: A Link to the Past and Four Swords,2002 - Game Boy Advance,Producers,"Takashi Tezuka, Noritaka Funamizu, Katsuhiro Sudo"
The Legend of Zelda: A Link to the Past and Four Swords,2002 - Game Boy Advance,Designers,"Hidemaro Fujibayashi, Su Chol Lee, Mitsuaki Araki, Joko Kazuki"
The Legend of Zelda: A Link to the Past and Four Swords,2002 - Game Boy Advance,Artists,Haruki Suetsugu
The Legend of Zelda: A Link to the Past and Four Swords,2002 - Game Boy Advance,Writers,Kensuke Tanabe
The Legend of Zelda: A Link to the Past and Four Swords,2002 - Game Boy Advance,Composers,Yuko Takehara
The Legend of Zelda: A Link to the Past and Four Swords,2011 - DSiWare,Directors,"Yoichi Yamada, Hidemaro Fujibayashi"
The Legend of Zelda: A Link to the Past and Four Swords,2011 - DSiWare,Producers,"Takashi Tezuka, Noritaka Funamizu, Katsuhiro Sudo"
The Legend of Zelda: A Link to the Past and Four Swords,2011 - DSiWare,Designers,"Hidemaro Fujibayashi, Su Chol Lee, Mitsuaki Araki, Joko Kazuki"
The Legend of Zelda: A Link to the Past and Four Swords,2011 - DSiWare,Artists,Haruki Suetsugu
The Legend of Zelda: A Link to the Past and Four Swords,2011 - DSiWare,Writers,Kensuke Tanabe
The Legend of Zelda: A Link to the Past and Four Swords,2011 - DSiWare,Composers,Yuko Takehara
The Legend of Zelda: The Wind Waker,2002 - GameCube,Directors,Eiji Aonuma
The Legend of Zelda: The Wind Waker,2002 - GameCube,Producers,"Shigeru Miyamoto, Takashi Tezuka"
The Legend of Zelda: The Wind Waker,2002 - GameCube,Programmers,"Toshio Iwawaki, Kazuaki Morita"
The Legend of Zelda: The Wind Waker,2002 - GameCube,Artists,"Yoshiki Haruhana, Satoru Takizawa, Masanao Arimoto"
The Legend of Zelda: The Wind Waker,2002 - GameCube,Writers,"Mitsuhiro Takano, Hajime Takhashi"
The Legend of Zelda: The Wind Waker,2002 - GameCube,Composers,"Kenta Nagata, Hajime Wakai, Toru Minegishi, Koji Kondo"
The Legend of Zelda: The Wind Waker,2013 - Wii U,Directors,Eiji Aonuma
The Legend of Zelda: The Wind Waker,2013 - Wii U,Producers,"Shigeru Miyamoto, Takashi Tezuka"
The Legend of Zelda: The Wind Waker,2013 - Wii U,Programmers,"Toshio Iwawaki, Kazuaki Morita"
The Legend of Zelda: The Wind Waker,2013 - Wii U,Artists,"Yoshiki Haruhana, Satoru Takizawa, Masanao Arimoto"
The Legend of Zelda: The Wind Waker,2013 - Wii U,Writers,"Mitsuhiro Takano, Hajime Takhashi"
The Legend of Zelda: The Wind Waker,2013 - Wii U,Composers,"Kenta Nagata, Hajime Wakai, Toru Minegishi, Koji Kondo"
The Legend of Zelda: Four Swords Adventures,2004 - GameCube,Directors,Toshiaki Suzuki
The Legend of Zelda: Four Swords Adventures,2004 - GameCube,Producers,"Shigeru Miyamoto, Eiji Aonuma"
The Legend of Zelda: Four Swords Adventures,2004 - GameCube,Programmers,Yasunari Soejima
The Legend of Zelda: Four Swords Adventures,2004 - GameCube,Artists,Masanao Arimoto
The Legend of Zelda: Four Swords Adventures,2004 - GameCube,Writers,"Aya Kyoguku, Daiji Imai"
The Legend of Zelda: Four Swords Adventures,2004 - GameCube,Composers,"Koji Kondo, Asuka Ota"
The Legend of Zelda: The Minish Cap,2004 - Game Boy Advance,Directors,Hidemaro Fujibayashi
The Legend of Zelda: The Minish Cap,2004 - Game Boy Advance,Producers,Keiji Inafune
The Legend of Zelda: The Minish Cap,2004 - Game Boy Advance,Programmers,"Toshihiko Honda, Nobuhito Shimizu, Yoshiyuki Fujikawa, Nobuaki Minomiya, Yohei Doi, Koji Yoshida"
The Legend of Zelda: The Minish Cap,2004 - Game Boy Advance,Artists,"Takenori Kimoto, Haruki Suetsugu"
The Legend of Zelda: The Minish Cap,2004 - Game Boy Advance,Composers,Mitsuhiko Takano
The Legend of Zelda: The Minish Cap,2011 - 3DS Ambassador Virtual Console,Directors,Hidemaro Fujibayashi
The Legend of Zelda: The Minish Cap,2011 - 3DS Ambassador Virtual Console,Producers,Keiji Inafune
The Legend of Zelda: The Minish Cap,2011 - 3DS Ambassador Virtual Console,Programmers,"Toshihiko Honda, Nobuhito Shimizu, Yoshiyuki Fujikawa, Nobuaki Minomiya, Yohei Doi, Koji Yoshida"
The Legend of Zelda: The Minish Cap,2011 - 3DS Ambassador Virtual Console,Artists,"Takenori Kimoto, Haruki Suetsugu"
The Legend of Zelda: The Minish Cap,2011 - 3DS Ambassador Virtual Console,Composers,Mitsuhiko Takano
The Legend of Zelda: The Minish Cap,2014 - Wii U Virtual Console,Directors,Hidemaro Fujibayashi
The Legend of Zelda: The Minish Cap,2014 - Wii U Virtual Console,Producers,Keiji Inafune
The Legend of Zelda: The Minish Cap,2014 - Wii U Virtual Console,Programmers,"Toshihiko Honda, Nobuhito Shimizu, Yoshiyuki Fujikawa, Nobuaki Minomiya, Yohei Doi, Koji Yoshida"
The Legend of Zelda: The Minish Cap,2014 - Wii U Virtual Console,Artists,"Takenori Kimoto, Haruki Suetsugu"
The Legend of Zelda: The Minish Cap,2014 - Wii U Virtual Console,Composers,Mitsuhiko Takano
The Legend of Zelda: The Minish Cap,2023 - Switch Online GBA Library,Directors,Hidemaro Fujibayashi
The Legend of Zelda: The Minish Cap,2023 - Switch Online GBA Library,Producers,Keiji Inafune
The Legend of Zelda: The Minish Cap,2023 - Switch Online GBA Library,Programmers,"Toshihiko Honda, Nobuhito Shimizu, Yoshiyuki Fujikawa, Nobuaki Minomiya, Yohei Doi, Koji Yoshida"
The Legend of Zelda: The Minish Cap,2023 - Switch Online GBA Library,Artists,"Takenori Kimoto, Haruki Suetsugu"
The Legend of Zelda: The Minish Cap,2023 - Switch Online GBA Library,Composers,Mitsuhiko Takano
The Legend of Zelda: Twilight Princess,2006 - GameCube,Directors,Eiji Aonuma
The Legend of Zelda: Twilight Princess,2006 - GameCube,Producers,Shigeru Miyamoto
The Legend of Zelda: Twilight Princess,2006 - GameCube,Artists,"Yusuke Nakano, Satoru Takizawa"
The Legend of Zelda: Twilight Princess,2006 - GameCube,Writers,"Aya Kyogoku, Takayuki Ikkaku, Mitsuhiro Takano, Eiji Aonuma"
The Legend of Zelda: Twilight Princess,2006 - GameCube,Composers,"Toru Minegishi, Asuka Ota"
The Legend of Zelda: Twilight Princess,2006 - Wii,Directors,Eiji Aonuma
The Legend of Zelda: Twilight Princess,2006 - Wii,Producers,Shigeru Miyamoto
The Legend of Zelda: Twilight Princess,2006 - Wii,Artists,"Yusuke Nakano, Satoru Takizawa"
The Legend of Zelda: Twilight Princess,2006 - Wii,Writers,"Aya Kyogoku, Takayuki Ikkaku, Mitsuhiro Takano, Eiji Aonuma"
The Legend of Zelda: Twilight Princess,2006 - Wii,Composers,"Toru Minegishi, Asuka Ota"
The Legend of Zelda: Twilight Princess,2016 - Wii U,Directors,Eiji Aonuma
The Legend of Zelda: Twilight Princess,2016 - Wii U,Producers,Shigeru Miyamoto
The Legend of Zelda: Twilight Princess,2016 - Wii U,Artists,"Yusuke Nakano, Satoru Takizawa"
The Legend of Zelda: Twilight Princess,2016 - Wii U,Writers,"Aya Kyogoku, Takayuki Ikkaku, Mitsuhiro Takano, Eiji Aonuma"
The Legend of Zelda: Twilight Princess,2016 - Wii U,Composers,"Toru Minegishi, Asuka Ota"
The Legend of Zelda: Phantom Hourglass,2007 - DS,Directors,Daiki Iwamoto
The Legend of Zelda: Phantom Hourglass,2007 - DS,Producers,Eiji Aonuma
The Legend of Zelda: Phantom Hourglass,2007 - DS,Designers,Michiho Hayashi
The Legend of Zelda: Phantom Hourglass,2007 - DS,Programmers,Shiro Mouri
The Legend of Zelda: Phantom Hourglass,2007 - DS,Writers,Hidemaro Fujibayashi
The Legend of Zelda: Phantom Hourglass,2007 - DS,Composers,"Kenta Nagata, Toru Minegishi"
The Legend of Zelda: Phantom Hourglass,2016 - Wii U Virtual Console,Directors,Daiki Iwamoto
The Legend of Zelda: Phantom Hourglass,2016 - Wii U Virtual Console,Producers,Eiji Aonuma
The Legend of Zelda: Phantom Hourglass,2016 - Wii U Virtual Console,Designers,Michiho Hayashi
The Legend of Zelda: Phantom Hourglass,2016 - Wii U Virtual Console,Programmers,Shiro Mouri
The Legend of Zelda: Phantom Hourglass,2016 - Wii U Virtual Console,Writers,Hidemaro Fujibayashi
The Legend of Zelda: Phantom Hourglass,2016 - Wii U Virtual Console,Composers,"Kenta Nagata, Toru Minegishi"
The Legend of Zelda: Spirit Tracks,2009 - DS,Directors,Daiki Iwamoto
The Legend of Zelda: Spirit Tracks,2009 - DS,Producers,Eiji Aonuma
The Legend of Zelda: Spirit Tracks,2009 - DS,Designers,"Koji Takahashi, Koji Kitagawa"
The Legend of Zelda: Spirit Tracks,2009 - DS,Programmers,"Shiro Mouri, Masahiro Nitta"
The Legend of Zelda: Spirit Tracks,2009 - DS,Artists,"Naoya Hasegawa, Yuri Adachi"
The Legend of Zelda: Spirit Tracks,2009 - DS,Composers,"Toru Minegishi, Manaka Kataoka, Asuka Hayazaki, Koji Kondo"
The Legend of Zelda: Spirit Tracks,2016 - Wii U Virtual Console,Directors,Daiki Iwamoto
The Legend of Zelda: Spirit Tracks,2016 - Wii U Virtual Console,Producers,Eiji Aonuma
The Legend of Zelda: Spirit Tracks,2016 - Wii U Virtual Console,Designers,"Koji Takahashi, Koji Kitagawa"
The Legend of Zelda: Spirit Tracks,2016 - Wii U Virtual Console,Programmers,"Shiro Mouri, Masahiro Nitta"
The Legend of Zelda: Spirit Tracks,2016 - Wii U Virtual Console,Artists,"Naoya Hasegawa, Yuri Adachi"
The Legend of Zelda: Spirit Tracks,2016 - Wii U Virtual Console,Composers,"Toru Minegishi, Manaka Kataoka, Asuka Hayazaki, Koji Kondo"
The Legend of Zelda: Skyward Sword,2011 - Wii,Directors,Hidemaro Fujibayashi
The Legend of Zelda: Skyward Sword,2011 - Wii,Producers,Eiji Aonuma
The Legend of Zelda: Skyward Sword,2011 - Wii,Designers,Ryuji Kobayashi
The Legend of Zelda: Skyward Sword,2011 - Wii,Programmers,"Toshio Iwawaki, Kazuaki Morita"
The Legend of Zelda: Skyward Sword,2011 - Wii,Artists,Takumi Wada
The Legend of Zelda: Skyward Sword,2011 - Wii,Writers,"Naoki Mori, Hidemaro Fujibayashi"
The Legend of Zelda: Skyward Sword,2011 - Wii,Composers,"Hajime Wakai, Shiho Fujii, Mahito Yokota, Takeshi Hama"
The Legend of Zelda: Skyward Sword,2016 - Wii U Virtual Console,Directors,Hidemaro Fujibayashi
The Legend of Zelda: Skyward Sword,2016 - Wii U Virtual Console,Producers,Eiji Aonuma
The Legend of Zelda: Skyward Sword,2016 - Wii U Virtual Console,Designers,Ryuji Kobayashi
The Legend of Zelda: Skyward Sword,2016 - Wii U Virtual Console,Programmers,"Toshio Iwawaki, Kazuaki Morita"
The Legend of Zelda: Skyward Sword,2016 - Wii U Virtual Console,Artists,Takumi Wada
The Legend of Zelda: Skyward Sword,2016 - Wii U Virtual Console,Writers,"Naoki Mori, Hidemaro Fujibayashi"
The Legend of Zelda: Skyward Sword,2016 - Wii U Virtual Console,Composers,"Hajime Wakai, Shiho Fujii, Mahito Yokota, Takeshi Hama"
The Legend of Zelda: Skyward Sword,2021 - Switch,Directors,Hidemaro Fujibayashi
The Legend of Zelda: Skyward Sword,2021 - Switch,Producers,Eiji Aonuma
The Legend of Zelda: Skyward Sword,2021 - Switch,Designers,Ryuji Kobayashi
The Legend of Zelda: Skyward Sword,2021 - Switch,Programmers,"Toshio Iwawaki, Kazuaki Morita"
The Legend of Zelda: Skyward Sword,2021 - Switch,Artists,Takumi Wada
The Legend of Zelda: Skyward Sword,2021 - Switch,Writers,"Naoki Mori, Hidemaro Fujibayashi"
The Legend of Zelda: Skyward Sword,2021 - Switch,Composers,"Hajime Wakai, Shiho Fujii, Mahito Yokota, Takeshi Hama"
The Legend of Zelda: A Link Between Worlds,2013 - 3DS,Directors,Hiromasa Shikata
The Legend of Zelda: A Link Between Worlds,2013 - 3DS,Producers,Eiji Aonuma
The Legend of Zelda: A Link Between Worlds,2013 - 3DS,Programmers,Shiro Mouri
The Legend of Zelda: A Link Between Worlds,2013 - 3DS,Artists,Koji Takahashi
The Legend of Zelda: A Link Between Worlds,2013 - 3DS,Writers,"Tatsuya Hishida, Mari Shirakawa"
The Legend of Zelda: A Link Between Worlds,2013 - 3DS,Composers,Ryo Nagamatsu
The Legend of Zelda: Tri Force Heroes,2015 - 3DS,Directors,Hiromasa Shikata
The Legend of Zelda: Tri Force Heroes,2015 - 3DS,Producers,Eiji Aonuma
The Legend of Zelda: Tri Force Heroes,2015 - 3DS,Designers,Yoichi Yamada
The Legend of Zelda: Tri Force Heroes,2015 - 3DS,Programmers,Shiro Mouri
The Legend of Zelda: Tri Force Heroes,2015 - 3DS,Artists,Keisuke Umeda
The Legend of Zelda: Tri Force Heroes,2015 - 3DS,Composers,Ryo Nagamatsu
The Legend of Zelda: Breath of the Wild,2017 - Wii U,Directors,Hidemaro Fujibayashi
The Legend of Zelda: Breath of the Wild,2017 - Wii U,Producers,Eiji Aonuma
The Legend of Zelda: Breath of the Wild,2017 - Wii U,Programmers,"Takuhiro Dohta, Kenji Matsutani, Hiroshi Umemiya"
The Legend of Zelda: Breath of the Wild,2017 - Wii U,Artists,"Takumi Wada, Satoru Takizawa"
The Legend of Zelda: Breath of the Wild,2017 - Wii U,Writers,"Akihito Toda, Naoki Mori"
The Legend of Zelda: Breath of the Wild,2017 - Wii U,Composers,"Manaka Kataoka, Yasuaki Iwata, Hajime Wakai"
The Legend of Zelda: Breath of the Wild,2017 - Switch,Directors,Hidemaro Fujibayashi
The Legend of Zelda: Breath of the Wild,2017 - Switch,Producers,Eiji Aonuma
The Legend of Zelda: Breath of the Wild,2017 - Switch,Programmers,"Takuhiro Dohta, Kenji Matsutani, Hiroshi Umemiya"
The Legend of Zelda: Breath of the Wild,2017 - Switch,Artists,"Takumi Wada, Satoru Takizawa"
The Legend of Zelda: Breath of the Wild,2017 - Switch,Writers,"Akihito Toda, Naoki Mori"
The Legend of Zelda: Breath of the Wild,2017 - Switch,Composers,"Manaka Kataoka, Yasuaki Iwata, Hajime Wakai"
The Legend of Zelda: Tears of the Kingdom,2023 - Switch,Directors,Hidemaro Fujibayashi
The Legend of Zelda: Tears of the Kingdom,2023 - Switch,Producers,Eiji Aonuma
The Legend of Zelda: Tears of the Kingdom,2023 - Switch,Designers,"Yohei Fujino, Yasutaka Takeuchi, Mari Shirakawa"
The Legend of Zelda: Tears of the Kingdom,2023 - Switch,Programmers,Takahiro Okuda
The Legend of Zelda: Tears of the Kingdom,2023 - Switch,Artists,Satoru Takizawa
The Legend of Zelda: Tears of the Kingdom,2023 - Switch,Writers,"Akihito Toda, Naoki Mori"
The Legend of Zelda: Tears of the Kingdom,2023 - Switch,Composers,"Manaka Kataoka, Maasa Miyoshi, Masato Ohashi, Tsukasa Usui"